key,fare_amount
2015-01-27 13:08:24.0000002,11.360831
2015-01-27 13:08:24.0000003,9.791626
2011-10-08 11:53:44.0000002,4.5913754
2012-12-01 21:12:12.0000002,7.9019737
2012-12-01 21:12:12.0000003,16.71993
2012-12-01 21:12:12.0000005,9.3007345
2011-10-06 12:10:20.0000001,5.5266604
2011-10-06 12:10:20.0000003,53.167107
2011-10-06 12:10:20.0000002,11.65241
2014-02-18 15:22:20.0000002,6.8284187
2014-02-18 15:22:20.0000003,9.693353
2014-02-18 15:22:20.0000001,18.024635
2010-03-29 20:20:32.0000002,3.9827328
2010-03-29 20:20:32.0000001,6.8652368
2011-10-06 03:59:12.0000002,7.9021316
2011-10-06 03:59:12.0000001,11.266562
2012-07-15 16:45:04.0000006,3.855638
2012-07-15 16:45:04.0000002,8.407718
2012-07-15 16:45:04.0000003,4.9693336
2012-07-15 16:45:04.0000004,4.0985155
2014-10-29 02:09:56.0000001,7.691792
2014-06-14 13:39:00.00000010,7.379655
2014-06-14 13:39:00.00000060,7.4818974
2014-06-14 13:39:00.00000087,8.867314
2014-06-14 13:39:00.00000050,17.853886
2014-06-14 13:39:00.0000003,7.116616
2014-06-14 13:39:00.000000158,39.77565
2014-06-14 13:39:00.00000015,25.47327
2014-06-14 13:39:00.00000073,6.5571685
2014-06-14 13:39:00.00000077,16.710018
2014-06-14 13:39:00.000000145,10.303892
2014-06-14 13:39:00.00000079,6.7182503
2014-06-14 13:39:00.000000121,5.6760445
2014-06-14 13:39:00.00000021,11.105497
2014-06-14 13:39:00.0000005,9.468256
2014-06-14 13:39:00.000000165,7.2097425
2014-06-14 13:39:00.000000184,6.1412888
2014-06-14 13:39:00.00000059,6.118834
2014-06-14 13:39:00.00000070,8.179073
2014-06-14 13:39:00.00000068,4.831763
2014-06-14 13:39:00.000000133,19.947231
2014-06-14 13:39:00.000000128,10.113896
2014-06-14 13:39:00.000000136,19.920034
2014-06-14 13:39:00.00000017,10.846511
